month,organization,sub_org,downloads_tot,visits_tot
2017-02,ministry of jobs and skills training,tourism,2.0,11.0
2017-02,"ministry of jobs, tourism and skills training, trades training, strategic planning & engagement",trades training strategic planning engagement,27.0,182.0
2017-02,"ministry of jobs, tourism and skills training",visitor services,3.0,5.0
2017-02,ministry of justice,civil forfeiture office,1.0,11.0
2017-02,ministry of justice,court services,21.0,91.0
2017-02,ministry of justice,criminal justice,7.0,35.0
2017-02,ministry of justice,office of the fire commissioner,1.0,15.0
2017-02,ministry of natural gas development,petroleum and natural gas titles,20.0,85.0
2017-02,ministry of natural gas development,tenure and geoscience,16.0,120.0
2017-02,ministry of public safety and solicitor general,corrections,6.0,40.0
2017-02,ministry of public safety and solicitor general,policing and security,12.0,87.0
2017-02,ministry of public safety and solicitor general,roadsafetybc,6.0,84.0
2017-02,ministry of small business and red tape reduction,liquor control and licensing,3.0,41.0
2017-02,ministry of small business and red tape reduction,liquor distribution,41.0,134.0
2017-02,ministry of small business and red tape reduction,regulatory reform,5.0,16.0
2017-02,ministry of small business and red tape reduction,small business programs,0.0,7.0
2017-02,ministry of social development and social innovation,employment and labour market service division,12.0,53.0
2017-02,ministry of social development and social innovation,research,9.0,134.0
2017-02,ministry of social development and social innovation,strategic human resources and communications,0.0,1.0
2017-02,"ministry of technology, innovation and citizens services",accommodation management,4.0,10.0
2017-02,"ministry of technology, innovation and citizens services",bc stats,82.0,312.0
2017-02,"ministry of technology, innovation and citizens services",information access operations,62.0,124.0
2017-02,"ministry of technology, innovation and citizens services",network bc,7.0,44.0
2017-02,"ministry of technology, innovation and citizens services",procurement services,8.0,25.0
2017-02,"ministry of technology, innovation and citizens services",provincial identity information management program,6.0,21.0
2017-02,"ministry of technology, innovation and citizens services, queen's printer",queen s printer,3.0,26.0
2017-02,"ministry of technology, innovation and citizens services",real estate policy and performance management,4.0,23.0
2017-02,"ministry of technology, innovation and citizens services, service analytics and standards - service bc",service bc,3.0,37.0
2017-02,"ministry of technology, innovation and citizens services",technology and innovation,0.0,1.0
2017-02,ministry of transportation and infrastructure,business management services,51.0,139.0
2017-02,ministry of transportation and infrastructure,commercial vehicle safety and enforcement,8.0,16.0
2017-02,ministry of transportation and infrastructure,construction and maintenance,108.0,457.0
2017-02,ministry of transportation and infrastructure,emergency management bc,12.0,91.0
2017-02,"ministry of transportation and infrastructure, information management - tran",information management tran,50.0,126.0
2017-02,ministry of transportation and infrastructure,rehabilitation and maintenance,3.0,25.0
2017-02,non-government,gis innovations,1.0,7.0
2017-02,non-government,integrated cadastral information society,0.0,12.0
2017-02,non-government,translink,4.0,90.0
2017-02,non-government,vancouver 2010 integrated security unit,1.0,5.0
2017-02,non-government,vancouver olympic organizing committee,6.0,12.0
2017-02,non-government,weyerhaeuser,1.0,3.0
2017-02,office of the premier and cabinet office,intergovernmental relations secretariat,4.0,22.0
2017-02,worksafebc,business information and analysis statistical services,1.0,8.0
2017-03,bc agency,agricultural land commission,27.0,203.0
2017-03,bc agency,bc hydro and power authority,53.0,187.0
2017-03,bc agency,bc public service agency,3.0,13.0
2017-03,bc agency,destination bc,16.0,93.0
2017-03,bc agency,elections bc,91.0,930.0
2017-03,"bc agency, land title and survey authority of bc - ltsa",ltsa,37.0,100.0
2017-03,bc agency,oil and gas commission,106.0,810.0
2017-03,bc agency,worksafebc,0.0,22.0
2017-03,government communications and public engagement,citizen engagement,7.0,81.0
2017-03,government of canada,canadian wildlife service,13.0,153.0
2017-03,government of canada,environment canada,40.0,146.0
2017-03,government of canada,fisheries and oceans canada,8.0,39.0
2017-03,government of canada,natural resources canada,4.0,74.0
2017-03,government of canada,royal canadian mounted police,30.0,99.0
2017-03,local government,city of north vancouver,0.0,1.0
2017-03,local government,city of surrey,1.0,1.0
2017-03,local government,greater vancouver regional district,2.0,25.0
2017-03,"local government, municipality of north cowichan",north cowichan,8.0,21.0
2017-03,"ministry of aboriginal relations and reconciliation, deputy minister's office",deputy minister s office,3.0,48.0
2017-03,ministry of aboriginal relations and reconciliation,intergovernmental and community relations,22.0,127.0
2017-03,ministry of aboriginal relations and reconciliation,lands and resources,35.0,112.0
2017-03,"ministry of aboriginal relations and reconciliation, socio-economic partnerships",socio economic partnerships,2.0,19.0
2017-03,ministry of advanced education,advanced education,6.0,61.0
2017-03,ministry of advanced education,post secondary audit and accountability,47.0,242.0
2017-03,"ministry of advanced education, post-secondary finance",post secondary finance,73.0,177.0
2017-03,"ministry of agriculture, corporate governance, policy and legislation",corporate governance policy and legislation,10.0,100.0
2017-03,ministry of agriculture,food safety and inspection,2.0,32.0
2017-03,ministry of agriculture,plant and animal health,1.0,51.0
2017-03,ministry of agriculture,sector development,0.0,7.0
2017-03,ministry of children and family development,child care programs and services,0.0,15.0
2017-03,"ministry of children and family development, information management - cfd",information management cfd,17.0,132.0
2017-03,ministry of children and family development,integrated quality assurance,1.0,14.0
2017-03,ministry of children and family development,provincial interface and partnerships team,0.0,11.0
2017-03,"ministry of community, sport and cultural development",bc arts council,0.0,8.0
2017-03,"ministry of community, sport and cultural development",bc film commission,6.0,16.0
2017-03,"ministry of community, sport and cultural development",community gaming grants,12.0,34.0
2017-03,"ministry of community, sport and cultural development",governance and structure,36.0,270.0
2017-03,"ministry of community, sport and cultural development",local government infrastructure and finance,10.0,79.0
2017-03,ministry of education,analysis and reporting,146.0,957.0
2017-03,ministry of education,governance and legislation,4.0,31.0
2017-03,ministry of education,libraries and literacy,46.0,112.0
2017-03,ministry of energy and mines,bc geological survey,182.0,680.0
2017-03,ministry of energy and mines,health and safety and permitting,6.0,16.0
2017-03,ministry of energy and mines,mineral titles,361.0,1166.0
2017-03,ministry of energy and mines,mines and mineral resources division,10.0,61.0
2017-03,ministry of environment,climate action secretariat,26.0,237.0
2017-03,ministry of environment,conservation science section,1.0,12.0
2017-03,ministry of environment,ecosystems,130.0,698.0
2017-03,ministry of environment,environmental assessment office,5.0,28.0
2017-03,ministry of environment,environmental emergencies and land remediation,17.0,59.0
2017-03,ministry of environment,environmental management,7.0,37.0
2017-03,ministry of environment,environmental protection division,9.0,130.0
2017-03,ministry of environment,environmental quality,4.0,19.0
2017-03,ministry of environment,environmental standards,9.0,33.0
2017-03,ministry of environment,fish and wildlife compensation program,14.0,85.0
2017-03,ministry of environment,knowledge management,617.0,2668.0
2017-03,ministry of environment,parks planning and management,70.0,449.0
2017-03,ministry of environment,regional operations,11.0,60.0
2017-03,ministry of environment,strategic policy,1.0,5.0
2017-03,ministry of environment,visitor programs,3.0,20.0
2017-03,ministry of environment,water protection and sustainability,137.0,633.0
2017-03,ministry of finance,debt management,4.0,7.0
2017-03,ministry of finance,financial reporting and advisory services,47.0,261.0
2017-03,ministry of finance,gaming policy and enforcement,5.0,12.0
2017-03,"ministry of finance, privacy, compliance and training",privacy and legislation,107.0,226.0
2017-03,ministry of finance,property taxation,19.0,294.0
2017-03,ministry of finance,public sector employers council secretariat,16.0,97.0
2017-03,ministry of finance,treasury board staff,68.0,486.0
2017-03,"ministry of forests, lands and natural resource operations",archaeology,60.0,286.0
2017-03,"ministry of forests, lands and natural resource operations",authorization initiatives branch,4.0,46.0
2017-03,"ministry of forests, lands and natural resource operations ",bc timber sales,0.0,14.0
2017-03,"ministry of forests, lands and natural resource operations",bc wildfire service,232.0,792.0
2017-03,"ministry of forests, lands and natural resource operations",first nations relations,0.0,1.0
2017-03,"ministry of forests, lands and natural resource operations, fish, wildlife and habitat management",fish wildlife and habitat management,300.0,919.0
2017-03,"ministry of forests, lands and natural resource operations",forest analysis and inventory,547.0,2045.0
2017-03,"ministry of forests, lands and natural resource operations",forest tenures,228.0,1382.0
2017-03,"ministry of forests, lands and natural resource operations",geobc,1310.0,7305.0
2017-03,"ministry of forests, lands and natural resource operations",heritage,29.0,222.0
2017-03,"ministry of forests, lands and natural resource operations",land tenures,10.0,96.0
2017-03,"ministry of forests, lands and natural resource operations",mountain resorts,2.0,119.0
2017-03,"ministry of forests, lands and natural resource operations (range, invasive plants and ecosystem restoration)",range,65.0,208.0
2017-03,"ministry of forests, lands and natural resource operations",recreation sites and trails bc,43.0,250.0
2017-03,"ministry of forests, lands and natural resource operations, regional operations - cariboo",regional operations cariboo,18.0,80.0
2017-03,"ministry of forests, lands and natural resource operations, regional operations - kootenay boundary",regional operations kootenay boundary,18.0,86.0
2017-03,"ministry of forests, lands and natural resource operations, regional operations - northeast",regional operations northeast,9.0,29.0
2017-03,"ministry of forests, lands and natural resource operations, regional operations - skeena",regional operations skeena,7.0,30.0
2017-03,"ministry of forests, lands and natural resource operations, regional operations - south coast",regional operations south coast,33.0,167.0
2017-03,"ministry of forests, lands and natural resource operations, regional operations - thompson okanagan",regional operations thompson okanagan,15.0,100.0
2017-03,"ministry of forests, lands and natural resource operations, regional operations - west coast",regional operations west coast,19.0,151.0
2017-03,"ministry of forests, lands and natural resource operations, research, innovation and knowledge management",research innovation and knowledge management,1.0,11.0
2017-03,"ministry of forests, lands and natural resource operations",resource management objectives,212.0,1409.0
2017-03,"ministry of forests, lands and natural resource operations",resource practices,120.0,729.0
2017-03,"ministry of forests, lands and natural resource operations, southern interior forest region ",southern interior forest region sifr,0.0,2.0
2017-03,"ministry of forests, lands and natural resource operations",tree improvement,5.0,54.0
2017-03,"ministry of forests, lands and natural resource operations",water management,94.0,555.0
2017-03,ministry of health,british columbia vital statistics agency,28.0,76.0
2017-03,ministry of health,health protection,1.0,10.0
2017-03,ministry of health,healthlinkbc,16.0,281.0
2017-03,"ministry of health, laboratory, diagnostic and blood services",laboratory diagnostic and blood services,0.0,11.0
2017-03,ministry of health,medical services,201.0,488.0
2017-03,ministry of health,pharmaceutical services division,8.0,29.0
2017-03,ministry of health,planning and innovation division,23.0,79.0
2017-03,ministry of health,provincial health services authority,30.0,125.0
2017-03,ministry of international trade,international marketing,67.0,469.0
2017-03,ministry of international trade,multiculturalism,0.0,2.0
2017-03,"ministry of jobs, tourism and skills training",databc,833.0,2482.0
2017-03,"ministry of jobs, tourism and skills training",economic development division,7.0,49.0
2017-03,"ministry of jobs, tourism and skills training",immigrant integration,0.0,2.0
2017-03,"ministry of jobs, tourism and skills training",labour market information,33.0,127.0
2017-03,"ministry of jobs, tourism and skills training",labour market programs,1.0,35.0
2017-03,"ministry of jobs, tourism and skills training",policy and stakeholder relations,0.0,5.0
2017-03,ministry of jobs and skills training,tourism,5.0,19.0
2017-03,"ministry of jobs, tourism and skills training, trades training, strategic planning & engagement",trades training strategic planning engagement,18.0,147.0
2017-03,"ministry of jobs, tourism and skills training",visitor services,2.0,7.0
2017-03,ministry of justice,civil forfeiture office,2.0,14.0
2017-03,ministry of justice,civil policy and legislation office,10.0,160.0
2017-03,ministry of justice,court services,25.0,164.0
2017-03,ministry of justice,criminal justice,3.0,17.0
2017-03,ministry of justice,office of the fire commissioner,0.0,13.0
2017-03,ministry of natural gas development,petroleum and natural gas titles,28.0,129.0
2017-03,ministry of natural gas development,tenure and geoscience,21.0,76.0
2017-03,ministry of public safety and solicitor general,corrections,1.0,21.0
2017-03,ministry of public safety and solicitor general,policing and security,24.0,331.0
2017-03,ministry of public safety and solicitor general,roadsafetybc,17.0,413.0
2017-03,ministry of small business and red tape reduction,liquor control and licensing,9.0,153.0
2017-03,ministry of small business and red tape reduction,liquor distribution,43.0,156.0
2017-03,ministry of small business and red tape reduction,regulatory reform,6.0,9.0
2017-03,ministry of small business and red tape reduction,small business programs,2.0,86.0
2017-03,ministry of social development and social innovation,employment and labour market service division,16.0,74.0
2017-03,ministry of social development and social innovation,research,10.0,269.0
2017-03,"ministry of technology, innovation and citizens services",accommodation management,6.0,10.0
2017-03,"ministry of technology, innovation and citizens services",bc stats,93.0,417.0
2017-03,"ministry of technology, innovation and citizens services",information access operations,82.0,183.0
2017-03,"ministry of technology, innovation and citizens services",network bc,10.0,43.0
2017-03,"ministry of technology, innovation and citizens services",procurement services,7.0,27.0
2017-03,"ministry of technology, innovation and citizens services",provincial identity information management program,4.0,10.0
2017-03,"ministry of technology, innovation and citizens services, queen's printer",queen s printer,15.0,24.0
2017-03,"ministry of technology, innovation and citizens services",real estate policy and performance management,9.0,26.0
2017-03,"ministry of technology, innovation and citizens services, service analytics and standards - service bc",service bc,10.0,55.0
2017-03,ministry of transportation and infrastructure,business management services,55.0,191.0
2017-03,ministry of transportation and infrastructure,commercial vehicle safety and enforcement,9.0,10.0
2017-03,ministry of transportation and infrastructure,construction and maintenance,116.0,442.0
2017-03,ministry of transportation and infrastructure,emergency management bc,14.0,65.0
2017-03,"ministry of transportation and infrastructure, information management - tran",information management tran,42.0,154.0
2017-03,ministry of transportation and infrastructure,rehabilitation and maintenance,3.0,26.0
2017-03,ministry of transportation and infrastructure,southern interior region,0.0,59.0
2017-03,non-government,bc games society,12.0,97.0
2017-03,non-government,gis innovations,0.0,7.0
2017-03,non-government,integrated cadastral information society,3.0,10.0
2017-03,non-government,timberwest,0.0,1.0
2017-03,non-government,translink,7.0,127.0
2017-03,non-government,vancouver 2010 integrated security unit,1.0,2.0
2017-03,non-government,vancouver olympic organizing committee,4.0,5.0
2017-03,non-government,weyerhaeuser,0.0,11.0
2017-03,office of the premier and cabinet office,intergovernmental relations secretariat,7.0,39.0
2017-03,worksafebc,business information and analysis statistical services,2.0,13.0
2017-04,bc agency,agricultural land commission,22.0,148.0
2017-04,bc agency,bc hydro and power authority,48.0,140.0
2017-04,bc agency,bc public service agency,3.0,9.0
2017-04,bc agency,destination bc,9.0,62.0
2017-04,bc agency,elections bc,136.0,690.0
2017-04,"bc agency, land title and survey authority of bc - ltsa",ltsa,44.0,102.0
2017-04,bc agency,oil and gas commission,110.0,451.0
2017-04,bc agency,worksafebc,0.0,7.0
2017-04,government communications and public engagement,citizen engagement,1.0,8.0
2017-04,government of canada,canadian wildlife service,13.0,131.0
2017-04,government of canada,environment canada,28.0,84.0
2017-04,government of canada,fisheries and oceans canada,3.0,9.0
2017-04,government of canada,industry canada,0.0,1.0
2017-04,government of canada,natural resources canada,6.0,59.0
2017-04,government of canada,royal canadian mounted police,24.0,50.0
2017-04,local government,city of surrey,0.0,1.0
2017-04,local government,greater vancouver regional district,8.0,21.0
2017-04,"local government, municipality of north cowichan",north cowichan,3.0,12.0
2017-04,"ministry of aboriginal relations and reconciliation, deputy minister's office",deputy minister s office,3.0,40.0
2017-04,ministry of aboriginal relations and reconciliation,intergovernmental and community relations,9.0,83.0
2017-04,ministry of aboriginal relations and reconciliation,lands and resources,48.0,187.0
2017-04,"ministry of aboriginal relations and reconciliation, socio-economic partnerships",socio economic partnerships,4.0,9.0
2017-04,ministry of advanced education,advanced education,2.0,42.0
2017-04,ministry of advanced education,post secondary audit and accountability,33.0,257.0
2017-04,"ministry of advanced education, post-secondary finance",post secondary finance,57.0,159.0
2017-04,"ministry of agriculture, corporate governance, policy and legislation",corporate governance policy and legislation,15.0,94.0
2017-04,ministry of agriculture,food safety and inspection,13.0,29.0
2017-04,ministry of agriculture,plant and animal health,0.0,10.0
2017-04,ministry of agriculture,sector development,0.0,4.0
2017-04,"ministry of children and family development, information management - cfd",information management cfd,15.0,78.0
2017-04,ministry of children and family development,integrated quality assurance,0.0,4.0
2017-04,ministry of children and family development,provincial interface and partnerships team,0.0,3.0
2017-04,"ministry of community, sport and cultural development",bc arts council,0.0,2.0
2017-04,"ministry of community, sport and cultural development",bc film commission,4.0,13.0
2017-04,"ministry of community, sport and cultural development",community gaming grants,7.0,38.0
2017-04,"ministry of community, sport and cultural development",governance and structure,5.0,152.0
2017-04,"ministry of community, sport and cultural development",local government infrastructure and finance,11.0,53.0
2017-04,ministry of education,analysis and reporting,100.0,707.0
2017-04,ministry of education,governance and legislation,0.0,16.0
2017-04,ministry of education,libraries and literacy,30.0,120.0
2017-04,ministry of energy and mines,bc geological survey,149.0,509.0
2017-04,ministry of energy and mines,health and safety and permitting,8.0,22.0
2017-04,ministry of energy and mines,mineral titles,313.0,1106.0
2017-04,ministry of energy and mines,mines and mineral resources division,5.0,16.0
2017-04,ministry of environment,climate action secretariat,34.0,166.0
2017-04,ministry of environment,conservation science section,3.0,17.0
2017-04,ministry of environment,ecosystems,86.0,367.0
2017-04,ministry of environment,environmental assessment office,1.0,14.0
2017-04,ministry of environment,environmental emergencies and land remediation,19.0,69.0
2017-04,ministry of environment,environmental management,2.0,8.0
2017-04,ministry of environment,environmental protection division,3.0,27.0
2017-04,ministry of environment,environmental quality,1.0,4.0
2017-04,ministry of environment,environmental standards,2.0,10.0
2017-04,ministry of environment,fish and wildlife compensation program,14.0,42.0
2017-04,ministry of environment,knowledge management,614.0,2327.0
2017-04,ministry of environment,parks planning and management,55.0,353.0
2017-04,ministry of environment,regional operations,2.0,6.0
2017-04,ministry of environment,strategic policy,5.0,9.0
2017-04,ministry of environment,visitor programs,1.0,5.0
2017-04,ministry of environment,water protection and sustainability,118.0,569.0
2017-04,ministry of finance,debt management,2.0,12.0
2017-04,ministry of finance,financial reporting and advisory services,31.0,137.0
2017-04,ministry of finance,gaming policy and enforcement,1.0,7.0
2017-04,"ministry of finance, privacy, compliance and training",privacy and legislation,61.0,142.0
2017-04,ministry of finance,property taxation,154.0,714.0
2017-04,ministry of finance,public sector employers council secretariat,16.0,38.0
2017-04,ministry of finance,treasury board staff,133.0,406.0
2017-04,"ministry of forests, lands and natural resource operations",archaeology,45.0,207.0
2017-04,"ministry of forests, lands and natural resource operations",authorization initiatives branch,7.0,31.0
2017-04,"ministry of forests, lands and natural resource operations ",bc timber sales,0.0,7.0
2017-04,"ministry of forests, lands and natural resource operations",bc wildfire service,317.0,1006.0
2017-04,"ministry of forests, lands and natural resource operations",first nations relations,0.0,3.0
2017-04,"ministry of forests, lands and natural resource operations, fish, wildlife and habitat management",fish wildlife and habitat management,303.0,858.0
2017-04,"ministry of forests, lands and natural resource operations",forest analysis and inventory,465.0,1614.0
2017-04,"ministry of forests, lands and natural resource operations",forest tenures,170.0,995.0
2017-04,"ministry of forests, lands and natural resource operations",geobc,1210.0,5744.0
2017-04,"ministry of forests, lands and natural resource operations",heritage,32.0,132.0
2017-04,"ministry of forests, lands and natural resource operations",land tenures,12.0,71.0
2017-04,"ministry of forests, lands and natural resource operations",mountain resorts,4.0,38.0
2017-04,"ministry of forests, lands and natural resource operations (range, invasive plants and ecosystem restoration)",range,52.0,169.0
2017-04,"ministry of forests, lands and natural resource operations",recreation sites and trails bc,31.0,199.0
2017-04,"ministry of forests, lands and natural resource operations, regional operations - cariboo",regional operations cariboo,14.0,87.0
2017-04,"ministry of forests, lands and natural resource operations, regional operations - kootenay boundary",regional operations kootenay boundary,9.0,32.0
2017-04,"ministry of forests, lands and natural resource operations, regional operations - northeast",regional operations northeast,4.0,19.0
2017-04,"ministry of forests, lands and natural resource operations, regional operations - skeena",regional operations skeena,2.0,14.0
2017-04,"ministry of forests, lands and natural resource operations, regional operations - south coast",regional operations south coast,16.0,82.0
2017-04,"ministry of forests, lands and natural resource operations, regional operations - thompson okanagan",regional operations thompson okanagan,15.0,80.0
2017-04,"ministry of forests, lands and natural resource operations, regional operations - west coast",regional operations west coast,15.0,100.0
2017-04,"ministry of forests, lands and natural resource operations, research, innovation and knowledge management",research innovation and knowledge management,3.0,19.0
2017-04,"ministry of forests, lands and natural resource operations",resource management objectives,187.0,906.0
2017-04,"ministry of forests, lands and natural resource operations",resource practices,80.0,454.0
2017-04,"ministry of forests, lands and natural resource operations, southern interior forest region ",southern interior forest region sifr,1.0,2.0
2017-04,"ministry of forests, lands and natural resource operations",tree improvement,1.0,14.0
2017-04,"ministry of forests, lands and natural resource operations",water management,100.0,527.0
2017-04,ministry of health,british columbia vital statistics agency,23.0,49.0
2017-04,ministry of health,healthlinkbc,15.0,126.0
2017-04,"ministry of health, laboratory, diagnostic and blood services",laboratory diagnostic and blood services,2.0,38.0
2017-04,ministry of health,medical services,142.0,325.0
2017-04,ministry of health,pharmaceutical services division,9.0,31.0
2017-04,ministry of health,planning and innovation division,22.0,115.0
2017-04,ministry of health,provincial health services authority,18.0,112.0
2017-04,ministry of international trade,international marketing,36.0,263.0
2017-04,"ministry of jobs, tourism and skills training",databc,748.0,2088.0
2017-04,"ministry of jobs, tourism and skills training",economic development division,4.0,46.0
2017-04,"ministry of jobs, tourism and skills training",immigrant integration,0.0,3.0
2017-04,"ministry of jobs, tourism and skills training",labour market information,27.0,104.0
2017-04,"ministry of jobs, tourism and skills training",labour market programs,2.0,29.0
2017-04,"ministry of jobs, tourism and skills training",policy and stakeholder relations,1.0,1.0
2017-04,ministry of jobs and skills training,tourism,3.0,30.0
2017-04,"ministry of jobs, tourism and skills training, trades training, strategic planning & engagement",trades training strategic planning engagement,7.0,61.0
2017-04,"ministry of jobs, tourism and skills training",visitor services,3.0,7.0
2017-04,ministry of justice,civil forfeiture office,2.0,47.0
2017-04,ministry of justice,civil policy and legislation office,14.0,64.0
2017-04,ministry of justice,court services,10.0,103.0
2017-04,ministry of justice,criminal justice,2.0,60.0
2017-04,ministry of justice,office of the fire commissioner,0.0,5.0
2017-04,ministry of natural gas development,petroleum and natural gas titles,29.0,96.0
2017-04,ministry of natural gas development,tenure and geoscience,11.0,53.0
2017-04,ministry of public safety and solicitor general,corrections,6.0,28.0
2017-04,ministry of public safety and solicitor general,policing and security,20.0,143.0
2017-04,ministry of public safety and solicitor general,roadsafetybc,6.0,112.0
2017-04,ministry of small business and red tape reduction,liquor control and licensing,19.0,84.0
2017-04,ministry of small business and red tape reduction,liquor distribution,59.0,129.0
2017-04,ministry of small business and red tape reduction,regulatory reform,2.0,14.0
2017-04,ministry of small business and red tape reduction,small business programs,0.0,19.0
2017-04,ministry of social development and social innovation,employment and labour market service division,9.0,24.0
2017-04,ministry of social development and social innovation,research,18.0,210.0
2017-04,"ministry of technology, innovation and citizens services",accommodation management,8.0,13.0
2017-04,"ministry of technology, innovation and citizens services",bc stats,93.0,402.0
2017-04,"ministry of technology, innovation and citizens services",information access operations,36.0,77.0
2017-04,"ministry of technology, innovation and citizens services",network bc,7.0,14.0
2017-04,"ministry of technology, innovation and citizens services",procurement services,4.0,8.0
2017-04,"ministry of technology, innovation and citizens services",provincial identity information management program,6.0,16.0
2017-04,"ministry of technology, innovation and citizens services, queen's printer",queen s printer,6.0,17.0
2017-04,"ministry of technology, innovation and citizens services",real estate policy and performance management,2.0,20.0
2017-04,"ministry of technology, innovation and citizens services, service analytics and standards - service bc",service bc,9.0,18.0
2017-04,ministry of transportation and infrastructure,business management services,34.0,131.0
2017-04,ministry of transportation and infrastructure,commercial vehicle safety and enforcement,1.0,4.0
2017-04,ministry of transportation and infrastructure,construction and maintenance,85.0,299.0
2017-04,ministry of transportation and infrastructure,emergency management bc,9.0,34.0
2017-04,"ministry of transportation and infrastructure, information management - tran",information management tran,25.0,62.0
2017-04,ministry of transportation and infrastructure,rehabilitation and maintenance,3.0,13.0
2017-04,ministry of transportation and infrastructure,southern interior region,0.0,16.0
2017-04,non-government,bc games society,2.0,16.0
2017-04,non-government,gis innovations,0.0,3.0
2017-04,non-government.,geomatics data management inc,0.0,4.0
2017-04,non-government,integrated cadastral information society,0.0,3.0
2017-04,non-government,translink,6.0,63.0
2017-04,non-government,vancouver 2010 integrated security unit,1.0,2.0
2017-04,non-government,vancouver olympic organizing committee,3.0,7.0
2017-04,non-government,weyerhaeuser,1.0,1.0
2017-04,office of the premier and cabinet office,intergovernmental relations secretariat,4.0,16.0
2017-04,worksafebc,business information and analysis statistical services,1.0,28.0
2017-06,bc agency,agricultural land commission,37.0,207.0
2017-06,bc agency,bc hydro and power authority,47.0,153.0
2017-06,bc agency,bc public service agency,3.0,8.0
2017-06,bc agency,destination bc,10.0,78.0
2017-06,bc agency,elections bc,35.0,266.0
2017-06,"bc agency, land title and survey authority of bc - ltsa",ltsa,41.0,106.0
2017-06,bc agency,oil and gas commission,95.0,470.0
2017-06,bc agency,worksafebc,2.0,10.0
2017-06,government communications and public engagement,citizen engagement,3.0,22.0
2017-06,government of canada,canadian wildlife service,17.0,82.0
2017-06,government of canada,environment canada,29.0,101.0
2017-06,government of canada,fisheries and oceans canada,10.0,19.0
2017-06,government of canada,industry canada,0.0,1.0
2017-06,government of canada,natural resources canada,1.0,43.0
2017-06,government of canada,royal canadian mounted police,24.0,50.0
2017-06,local government,greater vancouver regional district,5.0,22.0
2017-06,"local government, municipality of north cowichan",north cowichan,5.0,16.0
2017-06,"ministry of aboriginal relations and reconciliation, deputy minister's office",deputy minister s office,2.0,39.0
2017-06,ministry of aboriginal relations and reconciliation,intergovernmental and community relations,16.0,95.0
2017-06,ministry of aboriginal relations and reconciliation,lands and resources,49.0,171.0
2017-06,"ministry of aboriginal relations and reconciliation, socio-economic partnerships",socio economic partnerships,14.0,25.0
2017-06,ministry of advanced education,advanced education,5.0,67.0
2017-06,ministry of advanced education,post secondary audit and accountability,24.0,154.0
2017-06,"ministry of advanced education, post-secondary finance",post secondary finance,91.0,220.0
2017-06,"ministry of agriculture, corporate governance, policy and legislation",corporate governance policy and legislation,13.0,91.0
2017-06,ministry of agriculture,food safety and inspection,7.0,21.0
2017-06,ministry of agriculture,plant and animal health,0.0,17.0
2017-06,ministry of children and family development,child care programs and services,0.0,5.0
2017-06,"ministry of children and family development, information management - cfd",information management cfd,9.0,52.0
2017-06,ministry of children and family development,integrated quality assurance,2.0,10.0
2017-06,ministry of children and family development,provincial interface and partnerships team,0.0,3.0
2017-06,"ministry of community, sport and cultural development",bc film commission,2.0,4.0
2017-06,"ministry of community, sport and cultural development",community gaming grants,8.0,21.0
2017-06,"ministry of community, sport and cultural development",governance and structure,15.0,184.0
2017-06,"ministry of community, sport and cultural development",local government infrastructure and finance,13.0,44.0
2017-06,ministry of education,analysis and reporting,99.0,627.0
2017-06,ministry of education,governance and legislation,2.0,33.0
2017-06,ministry of energy and mines,bc geological survey,159.0,537.0
2017-06,ministry of energy and mines,health and safety and permitting,3.0,10.0
2017-06,ministry of energy and mines,mineral titles,311.0,958.0
2017-06,ministry of energy and mines,mines and mineral resources division,3.0,32.0
2017-06,ministry of environment,climate action secretariat,38.0,155.0
2017-06,ministry of environment,conservation officer service,1.0,2.0
2017-06,ministry of environment,conservation science section,2.0,11.0
2017-06,ministry of environment,ecosystems,116.0,403.0
2017-06,ministry of environment,environmental assessment office,4.0,17.0
2017-06,ministry of environment,environmental emergencies and land remediation,28.0,90.0
2017-06,ministry of environment,environmental management,1.0,7.0
2017-06,ministry of environment,environmental protection division,5.0,43.0
2017-06,ministry of environment,environmental quality,3.0,7.0
2017-06,ministry of environment,environmental standards,1.0,5.0
2017-06,ministry of environment,fish and wildlife compensation program,13.0,57.0
2017-06,ministry of environment,knowledge management,638.0,2288.0
2017-06,ministry of environment,parks planning and management,40.0,242.0
2017-06,ministry of environment,regional operations,3.0,21.0
2017-06,ministry of environment,strategic policy,1.0,2.0
2017-06,ministry of environment,visitor programs,1.0,9.0
2017-06,ministry of environment,water protection and sustainability,126.0,425.0
2017-06,ministry of finance,debt management,9.0,209.0
2017-06,ministry of finance,financial reporting and advisory services,26.0,169.0
2017-06,ministry of finance,gaming policy and enforcement,3.0,19.0
2017-06,ministry of finance,information access operations,48.0,99.0
2017-06,"ministry of finance, privacy, compliance and training",privacy and legislation,95.0,192.0
2017-06,ministry of finance,property taxation,188.0,726.0
2017-06,ministry of finance,public sector employers council secretariat,12.0,69.0
2017-06,ministry of finance,treasury board staff,102.0,367.0
2017-06,"ministry of forests, lands and natural resource operations",archaeology,53.0,203.0
2017-06,"ministry of forests, lands and natural resource operations",authorization initiatives branch,1.0,13.0
2017-06,"ministry of forests, lands and natural resource operations ",bc timber sales,0.0,4.0
2017-06,"ministry of forests, lands and natural resource operations",bc wildfire service,373.0,923.0
2017-06,"ministry of forests, lands and natural resource operations",first nations relations,0.0,1.0
