month,organization,sub_org,downloads_tot,visits_tot
2016-12,"ministry of forests, lands and natural resource operations, regional operations - skeena",regional operations skeena,7.0,25.0
2016-12,"ministry of forests, lands and natural resource operations, regional operations - south coast",regional operations south coast,16.0,69.0
2016-12,"ministry of forests, lands and natural resource operations, regional operations - thompson okanagan",regional operations thompson okanagan,5.0,57.0
2016-12,"ministry of forests, lands and natural resource operations, regional operations - west coast",regional operations west coast,12.0,100.0
2016-12,"ministry of forests, lands and natural resource operations, research, innovation and knowledge management",research innovation and knowledge management,0.0,7.0
2016-12,"ministry of forests, lands and natural resource operations",resource management objectives,120.0,646.0
2016-12,"ministry of forests, lands and natural resource operations",resource practices,72.0,410.0
2016-12,"ministry of forests, lands and natural resource operations, southern interior forest region ",southern interior forest region sifr,4.0,14.0
2016-12,"ministry of forests, lands and natural resource operations",tree improvement,11.0,43.0
2016-12,"ministry of forests, lands and natural resource operations",water management,59.0,370.0
2016-12,ministry of health,british columbia vital statistics agency,2.0,19.0
2016-12,ministry of health,healthlinkbc,12.0,75.0
2016-12,"ministry of health, laboratory, diagnostic and blood services",laboratory diagnostic and blood services,1.0,13.0
2016-12,ministry of health,medical services,582.0,1024.0
2016-12,ministry of health,pharmaceutical services division,4.0,36.0
2016-12,ministry of health,planning and innovation division,9.0,35.0
2016-12,ministry of health,provincial health services authority,17.0,82.0
2016-12,ministry of international trade,international marketing,20.0,189.0
2016-12,"ministry of jobs, tourism and skills training",databc,463.0,1563.0
2016-12,"ministry of jobs, tourism and skills training",economic development division,3.0,23.0
2016-12,"ministry of jobs, tourism and skills training",immigrant integration,1.0,3.0
2016-12,"ministry of jobs, tourism and skills training",labour market information,33.0,78.0
2016-12,"ministry of jobs, tourism and skills training",labour market programs,7.0,43.0
2016-12,ministry of jobs and skills training,tourism,2.0,6.0
2016-12,"ministry of jobs, tourism and skills training",visitor services,1.0,1.0
2016-12,ministry of justice,civil forfeiture office,4.0,18.0
2016-12,ministry of justice,court services,36.0,73.0
2016-12,ministry of justice,criminal justice,8.0,26.0
2016-12,ministry of justice,office of the fire commissioner,0.0,12.0
2016-12,ministry of natural gas development,petroleum and natural gas titles,10.0,89.0
2016-12,ministry of natural gas development,tenure and geoscience,22.0,78.0
2016-12,ministry of public safety and solicitor general,corrections,3.0,22.0
2016-12,ministry of public safety and solicitor general,policing and security,18.0,97.0
2016-12,ministry of public safety and solicitor general,roadsafetybc,18.0,65.0
2016-12,ministry of small business and red tape reduction,liquor control and licensing,0.0,10.0
2016-12,ministry of small business and red tape reduction,liquor distribution,39.0,86.0
2016-12,ministry of small business and red tape reduction,regulatory reform,1.0,2.0
2016-12,ministry of social development and social innovation,employment and labour market service division,5.0,60.0
2016-12,ministry of social development and social innovation,research,8.0,102.0
2016-12,"ministry of technology, innovation and citizens services",accommodation management,3.0,3.0
2016-12,"ministry of technology, innovation and citizens services",bc stats,28.0,149.0
2016-12,"ministry of technology, innovation and citizens services",information access operations,43.0,92.0
2016-12,"ministry of technology, innovation and citizens services",network bc,4.0,21.0
2016-12,"ministry of technology, innovation and citizens services",procurement services,0.0,3.0
2016-12,"ministry of technology, innovation and citizens services",provincial identity information management program,3.0,3.0
2016-12,"ministry of technology, innovation and citizens services, queen's printer",queen s printer,7.0,22.0
2016-12,"ministry of technology, innovation and citizens services",real estate policy and performance management,3.0,12.0
2016-12,"ministry of technology, innovation and citizens services, service analytics and standards - service bc",service bc,6.0,59.0
2016-12,ministry of transportation and infrastructure,business management services,59.0,158.0
2016-12,ministry of transportation and infrastructure,commercial vehicle safety and enforcement,7.0,11.0
2016-12,ministry of transportation and infrastructure,construction and maintenance,54.0,253.0
2016-12,ministry of transportation and infrastructure,emergency management bc,11.0,28.0
2016-12,"ministry of transportation and infrastructure, information management - tran",information management tran,48.0,102.0
2016-12,ministry of transportation and infrastructure,rehabilitation and maintenance,2.0,9.0
2016-12,non-government,gis innovations,0.0,4.0
2016-12,non-government,interfor,0.0,5.0
2016-12,non-government,integrated cadastral information society,0.0,8.0
2016-12,non-government,other,1.0,12.0
2016-12,non-government,timberwest,0.0,5.0
2016-12,non-government,translink,2.0,44.0
2016-12,non-government,vancouver 2010 integrated security unit,0.0,1.0
2016-12,non-government,vancouver olympic organizing committee,1.0,2.0
2016-12,non-government,weyerhaeuser,0.0,3.0
2016-12,office of the premier and cabinet office,intergovernmental relations secretariat,3.0,11.0
2016-12,worksafebc,business information and analysis statistical services,0.0,6.0
2017-01,bc agency,agricultural land commission,28.0,137.0
2017-01,bc agency,bc assessment authority,3.0,25.0
2017-01,bc agency,bc hydro and power authority,29.0,96.0
2017-01,bc agency,bc public service agency,0.0,4.0
2017-01,bc agency,destination bc,12.0,57.0
2017-01,bc agency,elections bc,48.0,413.0
2017-01,bc agency,interior health authority,0.0,1.0
2017-01,"bc agency, land title and survey authority of bc - ltsa",ltsa,34.0,105.0
2017-01,bc agency,oil and gas commission,113.0,734.0
2017-01,bc agency,worksafebc,0.0,11.0
2017-01,government communications and public engagement,citizen engagement,5.0,35.0
2017-01,government of canada,canadian wildlife service,10.0,130.0
2017-01,government of canada,environment canada,34.0,130.0
2017-01,government of canada,fisheries and oceans canada,5.0,15.0
2017-01,government of canada,natural resources canada,3.0,63.0
2017-01,government of canada,royal canadian mounted police,12.0,34.0
2017-01,local government,city of north vancouver,0.0,3.0
2017-01,local government,city of surrey,2.0,7.0
2017-01,local government,fraser valley regional district,0.0,1.0
2017-01,local government,greater vancouver regional district,4.0,28.0
2017-01,"local government, municipality of north cowichan",north cowichan,2.0,38.0
2017-01,"ministry of aboriginal relations and reconciliation, deputy minister's office",deputy minister s office,2.0,45.0
2017-01,ministry of aboriginal relations and reconciliation,intergovernmental and community relations,22.0,77.0
2017-01,ministry of aboriginal relations and reconciliation,lands and resources,34.0,129.0
2017-01,"ministry of aboriginal relations and reconciliation, socio-economic partnerships",socio economic partnerships,1.0,11.0
2017-01,ministry of advanced education,advanced education,3.0,67.0
2017-01,ministry of advanced education,post secondary audit and accountability,43.0,146.0
2017-01,"ministry of advanced education, post-secondary finance",post secondary finance,75.0,158.0
2017-01,"ministry of agriculture, corporate governance, policy and legislation",corporate governance policy and legislation,28.0,191.0
2017-01,ministry of agriculture,food safety and inspection,3.0,43.0
2017-01,"ministry of children and family development, information management - cfd",information management cfd,23.0,90.0
2017-01,ministry of children and family development,integrated quality assurance,0.0,24.0
2017-01,ministry of children and family development,provincial interface and partnerships team,0.0,13.0
2017-01,"ministry of community, sport and cultural development",bc arts council,1.0,9.0
2017-01,"ministry of community, sport and cultural development",bc film commission,1.0,3.0
2017-01,"ministry of community, sport and cultural development",community gaming grants,4.0,13.0
2017-01,"ministry of community, sport and cultural development",governance and structure,14.0,146.0
2017-01,"ministry of community, sport and cultural development",local government infrastructure and finance,12.0,57.0
2017-01,ministry of education,analysis and reporting,126.0,610.0
2017-01,ministry of education,governance and legislation,1.0,15.0
2017-01,ministry of education,libraries and literacy,59.0,210.0
2017-01,ministry of energy and mines,bc geological survey,164.0,666.0
2017-01,ministry of energy and mines,health and safety and permitting,7.0,49.0
2017-01,ministry of energy and mines,mineral titles,342.0,1157.0
2017-01,ministry of energy and mines,mines and mineral resources division,1.0,29.0
2017-01,ministry of environment,climate action secretariat,19.0,235.0
2017-01,ministry of environment,conservation officer service,0.0,5.0
2017-01,ministry of environment,conservation science section,1.0,14.0
2017-01,ministry of environment,ecosystems,94.0,519.0
2017-01,ministry of environment,environmental assessment office,3.0,16.0
2017-01,ministry of environment,environmental emergencies and land remediation,16.0,57.0
2017-01,ministry of environment,environmental management,3.0,13.0
2017-01,ministry of environment,environmental protection division,21.0,219.0
2017-01,ministry of environment,environmental quality,0.0,7.0
2017-01,ministry of environment,environmental standards,1.0,15.0
2017-01,ministry of environment,fish and wildlife compensation program,11.0,51.0
2017-01,ministry of environment,knowledge management,494.0,2030.0
2017-01,ministry of environment,parks planning and management,53.0,418.0
2017-01,ministry of environment,regional operations,0.0,9.0
2017-01,ministry of environment,strategic policy,0.0,7.0
2017-01,ministry of environment,visitor programs,0.0,7.0
2017-01,ministry of environment,water protection and sustainability,92.0,448.0
2017-01,ministry of finance,debt management,3.0,9.0
2017-01,ministry of finance,financial reporting and advisory services,25.0,126.0
2017-01,ministry of finance,gaming policy and enforcement,0.0,6.0
2017-01,"ministry of finance, privacy, compliance and training",privacy and legislation,115.0,238.0
2017-01,ministry of finance,property taxation,1.0,4.0
2017-01,ministry of finance,public sector employers council secretariat,5.0,38.0
2017-01,ministry of finance,treasury board staff,50.0,125.0
2017-01,"ministry of forests, lands and natural resource operations",archaeology,32.0,145.0
2017-01,"ministry of forests, lands and natural resource operations",authorization initiatives branch,15.0,45.0
2017-01,"ministry of forests, lands and natural resource operations ",bc timber sales,0.0,8.0
2017-01,"ministry of forests, lands and natural resource operations",bc wildfire service,138.0,436.0
2017-01,"ministry of forests, lands and natural resource operations",ecosystem based management,0.0,1.0
2017-01,"ministry of forests, lands and natural resource operations",first nations relations,0.0,1.0
2017-01,"ministry of forests, lands and natural resource operations, fish, wildlife and habitat management",fish wildlife and habitat management,316.0,1015.0
2017-01,"ministry of forests, lands and natural resource operations",forest analysis and inventory,410.0,1509.0
2017-01,"ministry of forests, lands and natural resource operations",forest tenures,165.0,1087.0
2017-01,"ministry of forests, lands and natural resource operations",geobc,1026.0,5296.0
2017-01,"ministry of forests, lands and natural resource operations",heritage,19.0,128.0
2017-01,"ministry of forests, lands and natural resource operations, lng, crown land opportunities and restoration",lng crown land opportunities and restoration,0.0,1.0
2017-01,"ministry of forests, lands and natural resource operations",land tenures,15.0,90.0
2017-01,"ministry of forests, lands and natural resource operations",mountain resorts,22.0,202.0
2017-01,"ministry of forests, lands and natural resource operations (range, invasive plants and ecosystem restoration)",range,46.0,160.0
2017-01,"ministry of forests, lands and natural resource operations",recreation sites and trails bc,35.0,220.0
2017-01,"ministry of forests, lands and natural resource operations, regional operations - cariboo",regional operations cariboo,10.0,63.0
2017-01,"ministry of forests, lands and natural resource operations, regional operations - kootenay boundary",regional operations kootenay boundary,14.0,84.0
2017-01,"ministry of forests, lands and natural resource operations, regional operations - northeast",regional operations northeast,6.0,36.0
2017-01,"ministry of forests, lands and natural resource operations, regional operations - skeena",regional operations skeena,4.0,20.0
2017-01,"ministry of forests, lands and natural resource operations, regional operations - south coast",regional operations south coast,17.0,85.0
2017-01,"ministry of forests, lands and natural resource operations, regional operations - thompson okanagan",regional operations thompson okanagan,25.0,174.0
2017-01,"ministry of forests, lands and natural resource operations, regional operations - west coast",regional operations west coast,19.0,113.0
2017-01,"ministry of forests, lands and natural resource operations, research, innovation and knowledge management",research innovation and knowledge management,0.0,3.0
2017-01,"ministry of forests, lands and natural resource operations",resource management objectives,143.0,742.0
2017-01,"ministry of forests, lands and natural resource operations",resource practices,80.0,487.0
2017-01,"ministry of forests, lands and natural resource operations, southern interior forest region ",southern interior forest region sifr,2.0,6.0
2017-01,"ministry of forests, lands and natural resource operations",tree improvement,9.0,43.0
2017-01,"ministry of forests, lands and natural resource operations",water management,65.0,393.0
2017-01,ministry of health,british columbia vital statistics agency,8.0,30.0
2017-01,ministry of health,health protection,0.0,8.0
2017-01,ministry of health,healthlinkbc,13.0,129.0
2017-01,"ministry of health, laboratory, diagnostic and blood services",laboratory diagnostic and blood services,7.0,29.0
2017-01,ministry of health,medical services,499.0,817.0
2017-01,ministry of health,pharmaceutical services division,4.0,30.0
2017-01,ministry of health,planning and innovation division,18.0,90.0
2017-01,ministry of health,provincial health services authority,16.0,94.0
2017-01,ministry of international trade,international marketing,35.0,299.0
2017-01,"ministry of jobs, tourism and skills training",databc,614.0,2366.0
2017-01,"ministry of jobs, tourism and skills training",economic development division,6.0,39.0
2017-01,"ministry of jobs, tourism and skills training",immigrant integration,2.0,4.0
2017-01,"ministry of jobs, tourism and skills training",labour market information,20.0,65.0
2017-01,"ministry of jobs, tourism and skills training",labour market programs,9.0,45.0
2017-01,"ministry of jobs, tourism and skills training",policy and stakeholder relations,0.0,4.0
2017-01,ministry of jobs and skills training,tourism,1.0,13.0
2017-01,"ministry of jobs, tourism and skills training, trades training, strategic planning & engagement",trades training strategic planning engagement,0.0,3.0
2017-01,ministry of justice,civil forfeiture office,3.0,21.0
2017-01,ministry of justice,court services,38.0,109.0
2017-01,ministry of justice,criminal justice,1.0,7.0
2017-01,ministry of justice,office of the fire commissioner,1.0,7.0
2017-01,ministry of natural gas development,petroleum and natural gas titles,27.0,86.0
2017-01,ministry of natural gas development,tenure and geoscience,32.0,111.0
2017-01,ministry of public safety and solicitor general,corrections,8.0,64.0
2017-01,ministry of public safety and solicitor general,policing and security,19.0,145.0
2017-01,ministry of public safety and solicitor general,roadsafetybc,4.0,83.0
2017-01,ministry of small business and red tape reduction,liquor control and licensing,1.0,37.0
2017-01,ministry of small business and red tape reduction,liquor distribution,46.0,183.0
2017-01,ministry of small business and red tape reduction,regulatory reform,7.0,16.0
2017-01,ministry of social development and social innovation,employment and labour market service division,13.0,37.0
2017-01,ministry of social development and social innovation,research,10.0,135.0
2017-01,ministry of social development and social innovation,strategic human resources and communications,0.0,3.0
